Pipeline ID,Feature set,Encoding,Scaling,Model,Eval method,Hyperparams,Seed,Threshold,Accuracy,LogLoss,Precision,Recall,Specificity,FalsePositiveRate,F1,AUC,CV AUC mean,CV AUC std
P1,Demographics + VLE w1-4 (volume + per-activity + temporal),Ordinal + One-hot (imd_band: Unknown category),StandardScaler,"Logistic Regression (L2, balanced)",GroupShuffleSplit train/test + 5-fold Stratified CV,"C=1.0, penalty=l2, class_weight=balanced",42,0.35,0.70360067995673,0.5346348619401424,0.6735459662288931,0.8452030606238964,0.5470224536283762,0.4529775463716238,0.7496737144348734,0.8061886579019797,0.807,0.005
P2,Demographics + VLE w1-4 (volume + per-activity + temporal),Ordinal + One-hot (imd_band: Unknown category),StandardScaler (in pipeline; trees scale-invariant),XGBoost - tuned (self-learned),GroupShuffleSplit train/test + 5-fold Stratified CV; 20-iteration RandomizedSearchCV for tuning,"colsample_bytree=0.784, learning_rate=0.118, max_depth=3, n_estimators=306, subsample=0.941",42,0.35,0.7171998145572555,0.5061289064752337,0.6913128355295266,0.8337257210123602,0.5883501464367068,0.4116498535632932,0.7558697972251868,0.8211910702626131,0.821,0.005
